Model,Time,total parameters,activated parameters,shared expert,Routed experts,activated experts
ST-MoE,2022-Q2,269B,32B,0,64,2
DeepSeek-MoE,2024-Q1,145B,22B,4,128,12
Mistral,2024-Q1,47B,13B,0,8,2
Grok1,2024-Q1,314B,84B,0,8,2
DeepSeek-V2,2024-Q2,236B,21B,2,160,6
DeepSeek-V3,2024-Q4,671B,37B,1,256,8
Qwen3,2025-Q2,235B,22B,0,128,8
dots.llm1,2025-Q2,142B,14B,2,128,6
Hunyuan-A13B,2025-Q2,80B,A13B,1,64,8
LLaMA4,2025-Q2,400B,17B,1,128,1
Step 3,2025-Q3,316B,38B,1,48,3
Kimi-K2,2025-Q3,1043B,32B,1,384,8
GLM-4.5,2025-Q3,355B,32B,1,160,8
gpt-oss,2025-Q3,116B,5B,0,128,4
LongCat,2025-Q3,560B,27B,0,768,12
Ling-1T,2025-Q4,1000B,51B,1,256,8
MiniMax-M2,2025-Q4,229.9B,9.8B,0,128,8
MiMo-V2-Flash,2026-Q1,309B,15B,0,256,8
Hy3 preview,2026-Q2,295B,21B,0,192,8
MAI-Thinking-1,2026-Q2,962B,34.7B,0,512,8
